author,edition_year,name,price,publisher,ratings
[美] 戴尔·卡耐基,Jan-08,人性的弱点全集,25.00元,中国发展出版社,8.3
刘震云,Mar-09,一句顶一万句,29.8,长江文艺出版社,8.7
史铁生,May-02,我与地坛,25.00元,春风文艺出版社,9
路遥,May-09,人生,20.00元,北京十月文艺出版社,8.4
[英] 阿加莎·克里斯蒂,May-06,尼罗河上的惨案,22.00元,人民文学出版社,8.7
江南,Jun-05,九州·缥缈录,20.00元,新世界出版社,8.8
[英] J. K. 罗琳,Sep-03,哈利·波特与凤凰社,59.00元,人民文学出版社,8.7
[巴西]保罗·柯艾略,2009/3/1,牧羊少年奇幻之旅,25.00元,南海出版公司,8.6
今何在,Apr-01,悟空传,14.80元,光明日报出版社,8.4
[日] 村上春树,Apr-03,海边的卡夫卡,25.00元,上海译文出版社,8.1
[美] 卡勒德·胡赛尼,Sep-07,灿烂千阳,28.00元,上海人民出版社,8.8
[澳] 考琳·麦卡洛,Jul-98,荆棘鸟,28.00元,译林出版社,8.6
龙应台,2009/12/1,孩子你慢慢来,28.00元,生活·读书·新知三联书店,8.8
[美] 奥德丽·尼芬格,Apr-07,时间旅行者的妻子,29.90元,人民文学出版社,8.1
三毛,Jun-03,哭泣的骆驼,15.80元,哈尔滨出版社,8.9
三毛,Jun-07,梦里花落知多少,28.00元,北京十月文艺出版社,8.8
格林兄弟,Nov-94,格林童话全集,21.45元,人民文学出版社,8.9
八月长安,Dec-09,你好，旧时光（上 下）,39.80元,新世界出版社,8.8
阿来,1998/3/1,尘埃落定,22,人民文学出版社,8.4
[美] 贾雷德·戴蒙德,2006/4/1,枪炮、病菌与钢铁,45.00元,上海世纪出版集团,8.8
[英]狄更斯,Jul-91,雾都孤儿,10.10元,上海译文出版社,8.1
王小波,Jan-05,红拂夜奔,28.00元,江苏文艺出版社,8.6
[德] 本哈德·施林克,Feb-09,朗读者,22,译林出版社,8.3
流潋紫,Feb-07,后宫·甄嬛传Ⅰ,22.00元,花山文艺出版社,8
幾米,2009/5/1,星空,NT369,大塊文化,9
[日] 东野圭吾,Sep-11,新参者,28.00元,南海出版公司,8.4
[日] 川端康成,Feb-02,伊豆的舞女,23.80元,广西师范大学出版社,8.2
金庸,Apr-99,倚天屠龙记(共四册),0,三联书店,8.5
九夜茴,Jan-08,匆匆那年（上下）,29,东方出版社,8.3
[美] 彼得·海斯勒,Jan-12,江城,36.00元,上海译文出版社,9
吴承恩,Aug-04,西游记（全二册）,47.20元,人民文学出版社,8.8
[美] 梭罗,Aug-06,瓦尔登湖,11.00元,上海译文出版社,8.4
[日] 村上春树,Aug-01,国境以南 太阳以西,13.50元,上海译文出版社,8.3
[美]  凯利·麦格尼格尔,Aug-12,自控力,39.80元,文化发展出版社(原印刷工业出版社),8.3
鲁迅,1973年3月,呐喊,0.36元,人民文学出版社,8.8
[英] 肯·福莱特,2016/5/1,巨人的陨落,129.80元,江苏凤凰文艺出版社,8.9
王小波,May-08,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.8
菲茨杰拉德,Jun-04,了不起的盖茨比,12.00元,人民文学出版社,8.3
张爱玲,Jun-96,红玫瑰与白玫瑰,12.80元,花城出版社,8.4
安东尼,Mar-08,陪安东尼度过漫长岁月,18,长江文艺出版社,8.3
（法）勒庞,2011/5/1,乌合之众,16.00元,中央编译出版社,8.3
[英] 阿加莎·克里斯蒂,May-06,罗杰疑案,21.00元,人民文学出版社,8.9
夏达,Dec-09,子不语1,RMB36.00,新世纪出版社,9
齐邦媛,Oct-10,巨流河,39.00元,生活·读书·新知三联书店,8.7
黄仁宇,Feb-07,中国大历史,19.00元,生活·读书·新知三联书店,8.3
[日] 村上春树,Aug-01,寻羊冒险记,18.80元,上海译文出版社,8.1
严歌苓,Apr-08,小姨多鹤,28.00元,作家出版社,8.6
张爱玲,Mar-97,第一炉香,11.5,花城出版社,8.4
（清）沈复,Jan-99,浮生六记,5.70元,人民文学出版社,8.9
王小波,1997,我的精神家园,18.80元,文化艺术出版社,9.1
[日] 岛田庄司,Sep-08,占星术杀人魔法,28,新星出版社,8.3
海明威,Oct-99,老人与海,8.20元,上海译文出版社,8.3
（英）勃朗特,1999/1/1,呼啸山庄,27.30元,人民文学出版社,8.4
[以色列]尤瓦尔·赫拉利,Nov-14,人类简史,CNY 68.00,中信出版社,9.1
[英] 乔治·奥威尔,2010/4/1,1984,28,北京十月文艺出版社,9.3
龙应台,Dec-08,亲爱的安德烈,26,人民文学出版社,8.7
[美] 欧·亨利,Jul-03,麦琪的礼物,25.00元,上海社会科学院出版社,8.6
林海音 文,Jul-03,城南旧事,16.00元,中国青年出版社,8.9
鲍鲸鲸,Jan-10,失恋33天,25.00元,中信出版社,8.1
鲜橙,2017/8/1,阿麦从军：全新修订版,108.00元,作家出版社,8.9
[日] 安倍夜郎,Jan-13,深夜食堂 01,25.00元,湖南文艺出版社,9.1
[英] 乔治·奥威尔,Mar-07,动物农场,10.00元,上海译文出版社,9.2
唐七公子,Jan-11,华胥引（全二册）,39.80元,现代出版社,8.4
天下霸唱,2006,鬼吹灯之精绝古城,25,安徽文艺出版社,8.1
（丹麦）安徒生,Aug-97,安徒生童话故事集,25,人民文学出版社,9.2
王国维,1998/12/1,人间词话,9.80元,上海古籍出版社,9
林达,May-02,带一本书去巴黎,35.00元,生活·读书·新知三联书店,8.5
[美] 艾·弗洛姆,Apr-08,爱的艺术,15.00元,上海译文出版社,8.8
太宰治,2009年9月,人间失格,16.00元,吉林出版集团有限责任公司,8.3
余华,Aug-05,兄弟（上）,16.00元,上海文艺出版社,8.3
大仲马,1991/12/1,基督山伯爵,43.90元,上海译文出版社,9
[美] M·斯科特·派克,Jan-07,少有人走的路,26.00元,吉林文史出版社,8.4
金庸,May-94,笑傲江湖（全四册）,76.80元,生活·读书·新知三联书店,9
[美] 伍绮诗,Jul-15,无声告白,35.00元,江苏凤凰文艺出版社,8.2
老舍,2000/3/1,骆驼祥子,12,人民文学出版社,8.3
张爱玲,Dec-06,半生缘,28.00元,北京十月文艺出版社,8.6
幾米,Feb-02,地下铁,32.00元,辽宁教育出版社,8.3
刘瑜,Jun-09,民主的细节,25,上海三联书店,8.6
[英] 阿·柯南道尔,Aug-81,福尔摩斯探案全集（上中下）,53.00元/68.00元,群众出版社,9.2
张德芬,Jan-08,遇见未知的自己,29,华夏出版社,8.1
小仲马,Mar-97,茶花女,9.00元,外国文学出版社,8.2
陈忠实,Dec-97,白鹿原,28.00元,人民文学出版社,8.6
[日] 岩井俊二,Jul-04,情书,18.00元,天津人民出版社,8.6
[奥] 斯台芬·茨威格,Jul-07,一个陌生女人的来信,20.00元,上海译文出版社,8.7
王小波,Oct-97,沉默的大多数,27.00元,中国青年出版社,9.1
金庸,May-94,神雕侠侣,76.80元,生活·读书·新知三联书店,8.8
